 | 65   | Ferrothorn         |  2.70148% | 3932   |  2.701% | 3232   |  3.072% |
 | 66   | Arceus-Rock        |  2.69598% | 3924   |  2.696% | 2574   |  2.446% |
 | 67   | Sigilyph           |  2.68636% | 3910   |  2.686% | 2855   |  2.713% |
 | 68   | Forretress         |  2.64720% | 3853   |  2.647% | 3120   |  2.965% |
 | 69   | Exploud            |  2.63689% | 3838   |  2.637% | 2766   |  2.629% |
 | 70   | Zapdos             |  2.63536% | 3836   |  2.635% | 2789   |  2.651% |
 | 71   | Terrakion          |  2.60545% | 3793   |  2.606% | 2669   |  2.537% |
 | 72   | Cryogonal          |  2.57918% | 3754   |  2.579% | 2425   |  2.305% |
 | 73   | Crobat             |  2.57231% | 3744   |  2.572% | 2807   |  2.668% |
 | 74   | Armaldo            |  2.56750% | 3737   |  2.567% | 2892   |  2.749% |
 | 75   | Landorus           |  2.55582% | 3720   |  2.556% | 2645   |  2.514% |
 | 76   | Accelgor           |  2.55239% | 3715   |  2.552% | 2763   |  2.626% |
 | 77   | Mamoswine          |  2.54123% | 3699   |  2.541% | 2854   |  2.712% |
 | 78   | Jellicent          |  2.53796% | 3694   |  2.538% | 2850   |  2.709% |
 | 79   | Reuniclus          |  2.53727% | 3693   |  2.537% | 2592   |  2.463% |
 | 80   | Alomomola          |  2.53315% | 3687   |  2.533% | 2691   |  2.558% |
 | 81   | Gastrodon          |  2.52147% | 3670   |  2.521% | 2832   |  2.692% |
 | 82   | Heatran            |  2.51391% | 3659   |  2.514% | 2898   |  2.754% |
 | 83   | Archeops           |  2.47544% | 3603   |  2.475% | 2561   |  2.434% |
 | 84   | Magneton           |  2.44658% | 3561   |  2.447% | 2630   |  2.500% |
 | 85   | Glalie             |  2.42803% | 3534   |  2.428% | 2435   |  2.314% |
 | 86   | Clawitzer          |  2.40192% | 3496   |  2.402% | 2595   |  2.466% |
 | 87   | Giratina           |  2.39986% | 3493   |  2.400% | 2290   |  2.176% |
 | 88   | Tyrantrum          |  2.38337% | 3469   |  2.383% | 2335   |  2.219% |
 | 89   | Delphox            |  2.38063% | 3465   |  2.381% | 2550   |  2.424% |
 | 90   | Drapion            |  2.37444% | 3456   |  2.374% | 2469   |  2.347% |
 | 91   | Torkoal            |  2.37307% | 3454   |  2.373% | 2813   |  2.673% |
 | 92   | Cloyster           |  2.34627% | 3415   |  2.346% | 2358   |  2.241% |
 | 93   | Jolteon            |  2.33597% | 3400   |  2.336% | 2569   |  2.442% |
 | 94   | Amoonguss          |  2.32978% | 3391   |  2.330% | 2564   |  2.437% |
 | 95   | Tentacruel         |  2.32978% | 3391   |  2.330% | 2720   |  2.585% |
 | 96   | Flygon             |  2.32910% | 3390   |  2.329% | 2464   |  2.342% |
 | 97   | Chansey            |  2.32481% | 3384   |  2.325% | 2382   |  2.264% |
 | 98   | Avalugg            |  2.29543% | 3341   |  2.295% | 2243   |  2.132% |
 | 99   | Garchomp           |  2.28238% | 3322   |  2.282% | 2525   |  2.400% |
 | 100  | Clefable           |  2.28185% | 3322   |  2.282% | 2511   |  2.386% |
 | 101  | Azelf              |  2.24665% | 3270   |  2.247% | 2698   |  2.564% |
 | 102  | Emboar             |  2.23772% | 3257   |  2.238% | 2232   |  2.121% |
 | 103  | Mandibuzz          |  2.18138% | 3175   |  2.181% | 2182   |  2.074% |
 | 104  | Infernape          |  2.15596% | 3138   |  2.156% | 2627   |  2.497% |
 | 105  | Seismitoad         |  2.13191% | 3103   |  2.132% | 2623   |  2.493% |
 | 106  | Combusken          |  2.13123% | 3102   |  2.131% | 2270   |  2.157% |
 | 107  | Banette            |  2.12985% | 3100   |  2.130% | 2257   |  2.145% |
